"warehouse","year","month","orders_count","avg_order_value"
"Свободная, 142/1","2025","10","30","34905.57"
"Транзитный склад","2025","10","1","3670.00"
"Свободная, 142/1","2025","11","34","78238.91"
"Свободная, 142/1","2025","12","43","42023.77"
"Свободная, 142/1","2026","1","28","23949.64"
"Свободная, 142/1","2026","2","117","12243.85"
"Свободная, 142/1","2026","3","75","9265.03"
"Склад Озона FBO","2026","3","8","3391.75"
"Свободная, 142/1","2026","4","97","8689.41"
"Склад Озона FBO","2026","4","2","3938.37"
"Свободная, 142/1","2026","5","205","8214.72"
"Склад Озона FBO","2026","5","17","6328.66"
"Свободная, 142/1","2026","6","178","8326.68"
"Склад Озона FBO","2026","6","29","8196.07"
"Свободная, 142/1","2026","7","93","7539.16"
"Склад Озона FBO","2026","7","14","5836.75"
