"year","month","orders_count","avg_order_value"
"2019","12","18","17466.44"
"2020","1","64","19977.13"
"2020","2","36","17887.08"
"2020","3","31","13902.90"
"2020","4","30","22168.48"
"2020","5","36","25795.89"
"2020","6","98","18762.74"
"2020","7","86","23671.53"
"2020","8","102","18421.12"
"2020","9","92","23550.72"
"2020","10","69","22311.90"
"2020","11","97","25440.26"
"2020","12","138","27275.51"
"2021","1","82","32467.78"
"2021","2","95","33645.21"
"2021","3","87","23592.91"
"2021","4","99","25172.28"
"2021","5","115","27156.71"
"2021","6","135","19542.20"
"2021","7","168","29275.69"
"2021","8","98","26837.33"
"2021","9","126","29659.06"
"2021","10","125","29485.67"
"2021","11","122","22818.48"
"2021","12","193","25667.20"
"2022","1","106","27780.84"
"2022","2","144","33739.26"
"2022","3","192","34523.59"
"2022","4","108","33993.43"
"2022","5","94","18703.13"
"2022","6","73","21766.12"
"2022","7","96","22344.10"
"2022","8","63","23151.24"
"2022","9","56","30642.86"
"2022","10","58","29875.41"
"2022","11","62","40934.74"
"2022","12","92","29766.14"
"2023","1","44","32062.73"
"2023","2","37","30711.05"
"2023","3","30","17621.13"
"2023","4","40","18300.48"
"2023","5","56","41311.13"
"2023","6","49","35674.65"
"2023","7","27","31831.15"
"2023","8","16","54759.44"
"2023","9","26","27129.35"
"2023","10","55","49522.40"
"2023","11","36","36909.47"
"2023","12","62","35339.26"
"2024","1","43","26388.21"
"2024","2","22","22039.14"
"2024","3","59","31778.71"
"2024","4","26","35738.08"
"2024","5","35","23731.00"
"2024","6","48","33835.81"
"2024","7","42","30529.60"
"2024","8","25","31553.52"
"2024","9","16","33937.13"
"2024","10","58","54891.88"
"2024","11","25","28634.60"
"2024","12","38","31653.18"
"2025","1","26","33438.96"
"2025","2","53","39975.15"
"2025","3","31","34701.65"
"2025","4","19","39952.00"
"2025","5","25","39878.68"
"2025","6","39","35796.13"
"2025","7","38","32047.18"
"2025","8","20","39090.95"
"2025","9","24","47485.79"
"2025","10","31","33897.97"
"2025","11","34","78238.91"
"2025","12","43","42023.77"
"2026","1","28","23949.64"
"2026","2","117","12243.85"
"2026","3","83","8698.93"
"2026","4","99","8593.43"
"2026","5","222","8070.29"
"2026","6","207","8308.38"
"2026","7","107","7316.41"
