"customer_anon","orders_count","total_spent"
"Customer_340","1","47560.00"
"Customer_200","5","120830.00"
"Customer_102","6","274565.00"
"Customer_608","1","9000.00"
"Customer_475","2","25260.00"
"Customer_459","2","27240.00"
"Customer_184","5","139158.00"
"Customer_525","3","18250.00"
"Customer_15","10","1581249.40"
"Customer_33","18","804576.00"
"Customer_323","1","53020.00"
"Customer_362","1","41950.00"
"Customer_72","5","404003.00"
"Customer_403","2","33575.00"
"Customer_194","6","127825.00"
"Customer_255","2","80704.00"
"Customer_382","3","37250.00"
"Customer_88","21","331633.00"
"Customer_387","3","36370.00"
"Customer_121","4","242140.00"
"Customer_207","7","112090.00"
"Customer_62","20","457401.00"
"Customer_342","1","47510.00"
"Customer_416","1","31880.00"
"Customer_35","34","755024.00"
"Customer_503","3","20990.00"
"Customer_471","5","25833.00"
"Customer_139","3","217194.00"
"Customer_383","3","37150.00"
"Customer_333","1","49311.00"
"Customer_276","5","70110.00"
"Customer_344","2","46400.00"
"Customer_143","12","211901.00"
"Customer_27","43","988907.00"
"Customer_603","1","9450.00"
"Customer_625","1","7762.00"
"Customer_277","4","69603.00"
"Customer_219","3","99476.00"
"Customer_206","17","115205.00"
"Customer_103","10","273685.00"
"Customer_217","6","102411.00"
"Customer_183","2","140500.00"
"Customer_582","1","13060.00"
"Customer_565","1","14270.00"
"Customer_134","3","227010.00"
"Customer_244","5","84728.00"
"Customer_672","1","1580.00"
"Customer_363","1","41790.00"
"Customer_26","10","992527.00"
"Customer_48","9","584567.00"
"Customer_352","1","44660.00"
"Customer_77","18","381080.00"
"Customer_651","1","3890.00"
"Customer_580","1","13120.00"
"Customer_329","1","49780.00"
"Customer_110","14","261423.00"
"Customer_211","13","107010.00"
"Customer_445","2","28177.00"
"Customer_369","1","39920.00"
"Customer_500","1","21180.00"
"Customer_397","2","34170.00"
"Customer_2","105","8137496.50"
"Customer_562","2","14622.00"
"Customer_367","3","41120.00"
"Customer_67","14","444980.00"
"Customer_284","1","67430.00"
"Customer_434","1","30190.00"
"Customer_656","1","3420.00"
"Customer_543","1","16030.00"
"Customer_100","7","280659.00"
"Customer_159","5","175372.00"
"Customer_60","17","478501.00"
"Customer_672","1","1580.00"
"Customer_302","1","60410.00"
"Customer_398","1","34090.00"
