"year","month","orders_count","total_revenue"
"2019","12","18","314396.00"
"2020","1","64","1278536.00"
"2020","2","36","643935.00"
"2020","3","31","430990.00"
"2020","4","30","665054.50"
"2020","5","36","928652.00"
"2020","6","98","1838749.00"
"2020","7","86","2035752.00"
"2020","8","102","1878954.00"
"2020","9","92","2166666.10"
"2020","10","69","1539520.80"
"2020","11","97","2467705.60"
"2020","12","138","3764020.00"
"2021","1","82","2662358.00"
"2021","2","95","3196295.00"
"2021","3","87","2052583.00"
"2021","4","99","2492056.00"
"2021","5","115","3123022.00"
"2021","6","135","2638196.60"
"2021","7","168","4918315.90"
"2021","8","98","2630058.10"
"2021","9","126","3737041.50"
"2021","10","125","3685709.10"
"2021","11","122","2783854.40"
"2021","12","193","4953769.50"
"2022","1","106","2944769.00"
"2022","2","144","4858454.00"
"2022","3","192","6628528.50"
"2022","4","108","3671290.00"
"2022","5","94","1758094.00"
"2022","6","73","1588927.00"
"2022","7","96","2145034.00"
"2022","8","63","1458528.00"
"2022","9","56","1716000.00"
"2022","10","58","1732774.00"
"2022","11","62","2537954.00"
"2022","12","92","2738485.00"
"2023","1","44","1410760.00"
"2023","2","37","1136309.00"
"2023","3","30","528634.00"
"2023","4","40","732019.00"
"2023","5","56","2313423.00"
"2023","6","49","1748058.00"
"2023","7","27","859441.00"
"2023","8","16","876151.00"
"2023","9","26","705363.00"
"2023","10","55","2723732.00"
"2023","11","36","1328741.00"
"2023","12","62","2191034.00"
"2024","1","43","1134693.00"
"2024","2","22","484861.00"
"2024","3","59","1874944.00"
"2024","4","26","929190.00"
"2024","5","35","830585.00"
"2024","6","48","1624119.00"
"2024","7","42","1282243.00"
"2024","8","25","788838.00"
"2024","9","16","542994.00"
"2024","10","58","3183729.00"
"2024","11","25","715865.00"
"2024","12","38","1202821.00"
"2025","1","26","869413.00"
"2025","2","53","2118683.00"
"2025","3","31","1075751.00"
"2025","4","19","759088.00"
"2025","5","25","996967.00"
"2025","6","39","1396049.00"
"2025","7","38","1217793.00"
"2025","8","20","781819.00"
"2025","9","24","1139659.00"
"2025","10","31","1050837.00"
"2025","11","34","2660123.00"
"2025","12","43","1807022.00"
"2026","1","28","670590.00"
"2026","2","117","1432531.00"
"2026","3","83","722011.04"
"2026","4","99","850749.83"
"2026","5","222","1791605.19"
"2026","6","207","1719835.39"
"2026","7","107","782856.18"
